title,name,location,time,verified,review,aircraft_model,traveller_type,seat_type,route,date_flown,overal_rating,Seat_comfort_rating,cabin_staff,food_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_for_money_rating,recommended
,,South Africa,2025-11-13,True,Economy Class,Solo Leisure,Solo Leisure,Economy Class,,November 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Qatar,2025-11-11,True,Economy Class,Solo Leisure,Solo Leisure,Economy Class,,November 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Portugal,2025-11-08,True,Economy Class,Solo Leisure,Solo Leisure,Economy Class,,November 2025,4/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",1.0,3,3,5,3,0
,,Germany,2025-11-01,True,Business Class,A359,Solo Leisure,Business Class,,October 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Germany,2025-10-31,True,Business Class,Boeing 787-9,Solo Leisure,Business Class,,October 2025,6/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,South Africa,2025-10-21,True,Economy Class,Boeing 777,Solo Leisure,Economy Class,,October 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Saudi Arabia,2025-10-19,True,Economy Class,A321,Business,Economy Class,,October 2025,5/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Germany,2025-10-14,True,Business Class,A380,Solo Leisure,Business Class,,September 2025,1/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",4.0,3,3,5,3,0
,,Qatar,2025-10-12,True,Economy Class,Family Leisure,Family Leisure,Economy Class,,August 2025,1/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Australia,2025-10-09,True,Economy Class,Couple Leisure,Couple Leisure,Economy Class,,October 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Germany,2025-10-08,True,Business Class,Boeing 787-9,Solo Leisure,Business Class,,September 2025,5/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Canada,2025-10-06,True,Economy Class,Couple Leisure,Couple Leisure,Economy Class,,October 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
