title,link,price,rating,num_reviews
"HUAWEI MatePad SE 11'' 8+128GB Grey Tablet, M-Pen lite, FullView Display, Large Capacity Battery with Pen",/-/en/M19-10-1inch-Android-Defination-Tablet/dp/B0CPFWZZRJ,SAR289.00,2.4,(174) 
,/-/en/M19-10-1inch-Android-Defination-Tablet/dp/B0CPFWZZRJ,SAR289.00,2.4,
,/-/en/M19-10-1inch-Android-Defination-Tablet/dp/B0CPFWZZRJ,SAR289.00,2.4,
,/-/en/M19-10-1inch-Android-Defination-Tablet/dp/B0CPFWZZRJ,SAR289.00,2.4,
,/-/en/M19-10-1inch-Android-Defination-Tablet/dp/B0CPFWZZRJ,SAR289.00,2.4,
,/-/en/M19-10-1inch-Android-Defination-Tablet/dp/B0CPFWZZRJ,SAR289.00,2.4,
"ALLDOCUBE Tablet 8.4 Inch, Android 15, 16GB RAM+256GB Storage, 6050mAh Battery, Support GPS/Face Recognition/4G LTE",/-/en/M19-10-1inch-Android-Defination-Tablet/dp/B0CPFWZZRJ,SAR289.00,2.4,(257) 
"Xiaomi Redmi Pad 2 Only WiFi (No Calls or Text) 11"" 2.5K Octa Core 4 Speakers Global ROM 9000mAh Bluetooth 5.3 8MP Model 25040RP0AL (Graphite Gray, 256GB + 8GB)",/-/en/M19-10-1inch-Android-Defination-Tablet/dp/B0CPFWZZRJ,SAR289.00,2.4,(1.6K) 
"XIAOMI Pad 7, 11-inch Tablet, Wi-FI, 256 GB, 8 GB RAM, Grey",/-/en/M19-10-1inch-Android-Defination-Tablet/dp/B0CPFWZZRJ,SAR289.00,2.4,(65) 
"OnePlus Pad 4 WiFi Tablet, 12GB RAM + 512GB Storage, Snapdragon 8 Elite Gen 5, 13.2"" 3.4K 144Hz Display, Dune Glow",/-/en/M19-10-1inch-Android-Defination-Tablet/dp/B0CPFWZZRJ,SAR289.00,2.4,
Lenovo Tab M11 Android Tablet | 11 Inch Full HD 1200p | 128 GB | Lenovo Tab Pen | WiFi | 4 GB RAM | Luna Grey | Designed for Portable Entertainment,/-/en/M19-10-1inch-Android-Defination-Tablet/dp/B0CPFWZZRJ,SAR289.00,2.4,(2.3K) 
"Apple 2021 iPad (10.2-inch, Wi-Fi, 256GB) - Space Grey (9th Generation) (Renewed)",/-/en/M19-10-1inch-Android-Defination-Tablet/dp/B0CPFWZZRJ,SAR289.00,2.4,(32) 
"AGM PAD T2 Tablet Android 14, FHD 1920x1200 Display, 4GB RAM, 256GB ROM (TF 512GB),GPS/Type-C/8000mAh Battery/Dual SIM 4G LTE/5G Hz WIFI/Face ID",/-/en/M19-10-1inch-Android-Defination-Tablet/dp/B0CPFWZZRJ,SAR289.00,2.4,(46) 
XPPen 3 in 1 Color Digital Notebook 10.95'' Paper Note Taking Tablet with 16384 Pressure Levels Battey-Free X3 Pro Pencil 2 Magnetic Folio 6+128GB Magic Note Pad for Writing/Reading/Meeting/Study,/-/en/M19-10-1inch-Android-Defination-Tablet/dp/B0CPFWZZRJ,SAR289.00,2.4,(304) 
"TABWEE T50 Android 16 Tablet 11 Inch, 24GB RAM (6+18GB Expandable) 128GB ROM (2TB TF), Octa-Core Gaming Tablet, 90Hz Eye-Care Screen, 8000mAh Battery, OTG Reverse Charge, Gemini AI, 4-Year Warranty",/-/en/M19-10-1inch-Android-Defination-Tablet/dp/B0CPFWZZRJ,SAR289.00,2.4,(31) 
